"Authors","Articles","Articles Fractionalized"
"MOSER AM","1","0.13"
"MOSLEY CB","1","0.07"
"MOTTE G","1","0.06"
"MOU P","1","0.14"
"MOUGEOT F","1","0.20"
"MOURGUIART B","1","0.17"
"MOUSER JB","1","0.25"
"MOWRY S","1","0.20"
"MOYA S","1","0.07"
"MUGERWA B","1","0.05"
"MUKHERJEE T","1","0.13"
"MULLIN KE","1","0.14"
"MUNGUIA-STEYER R","1","0.20"
"MUNOZ A","1","0.25"
"MUNOZ-IGUALADA J","1","0.13"
"MURAO R","1","0.25"
"MURDOCH JD","1","0.20"
"MURILLO O","1","0.25"
"MURILLO-GARCIA OE","1","0.33"
"MURRAY F","1","0.10"
"MURRAY MH","1","0.20"
"MURRAY NJ","1","0.14"
"MURRY BA","1","0.25"
"MWAURA A","1","0.11"
"NADER CE","1","0.11"
"NAFUS MG","1","0.14"
"NAGY C","1","0.11"
"NAGY-REIS MB","1","0.17"
"NAING H","1","0.08"
"NAMEER PO","1","0.33"
"NANNI V","1","0.06"
"NARANGO DL","1","0.33"
"NAREFF GE","1","0.17"
"NASR M","1","0.14"
"NAVA M","1","0.25"
"NAVEDA-RODRIGUEZ A","1","0.33"
"NAWAZ MA","1","0.20"
"NAZIR R","1","0.10"
"NEGROES N","1","0.13"
"NEL HP","1","0.20"
"NEL R","1","0.25"
"NELSON MD","1","0.20"
"NEMOZ M","1","0.20"
"NEVILLE HM","1","0.08"
"NEWBOLD T","1","0.13"
"NEWKIRK ES","1","0.25"
"NEWMAN RA","1","0.50"
"NEWTON DS","1","0.25"
"NG K","1","0.50"
"NG ST","1","0.25"
"NGAKA K","1","0.02"
"NGATIA DK","1","0.11"
"NGENE S","1","0.11"
"NGOPRASERT D","1","0.33"
"NGUYEN HT","1","0.17"
"NICHOLAS AC","1","0.06"
"NICHOLS RB","1","0.17"
"NICHOLSON KL","1","0.33"
"NICKLEN EF","1","0.33"
"NIEJALKE D","1","0.17"
"NIENOW SS","1","0.25"
"NIJMAN V","1","0.25"
"NIMMO DG","1","0.11"
"NIYIGABA P","1","0.14"
"NOON BR","1","0.14"
"NORAMBUENA K","1","0.13"
"NORDEN J","1","0.14"
"NORDENSTEN NJ","1","0.10"
"NORKKO A","1","0.33"
"NORKKO J","1","0.33"
"NORMANDIN E","1","0.25"
"NORTON RA","1","0.33"
"NORVELL RE","1","0.33"
"NOSS RF","1","0.17"
"NOVAGA R","1","0.20"
"NOVARO AJ","1","0.25"
"NOWAK C","1","0.25"
"NUNES LA","1","0.33"
"NUNEZ-REGUEIRO MM","1","0.17"
"NUSSLE SC","1","0.20"
"NYE JA","1","0.25"
"NYSEWANDER DR","1","0.11"
"O'BRIEN DJ","1","0.11"
"O'DONNELL L","1","0.25"
"O'HARA RB","1","0.11"
"O'LEARY CA","1","0.25"
"O'NEAL BJ","1","0.17"
"O'NEILL AJ","1","0.14"
"O'RIAIN M","1","0.20"
"OAKLEAF RJ","1","0.20"
"OBLOZA P","1","0.14"
"OCOCK JF","1","0.17"
"ODDEN J","1","0.14"
"ODONJAVKHLAN C","1","0.14"
"OFTEN A","1","0.10"
"OGURCAK D","1","0.11"
"OGUTU JO","1","0.14"
"OJWANG GO","1","0.14"
"OKES NC","1","0.50"
"OLEY J","1","0.33"
"OLIVER DL","1","0.07"
"OLIVER K","1","0.33"
"OLIVIER A","1","0.20"
"OLMOS M","1","0.05"
"OLNAOS M","1","0.09"
"OLSON BT","1","0.17"
"OLSON LE","1","0.20"
"OMEYER LCM","1","0.06"
"ONETO F","1","0.33"
"ONO S","1","0.17"
"ORIOLI V","1","0.25"
"OROPEZA-SANCHEZ MT","1","0.20"
"ORTEGA J","1","0.09"
"ORTEGA-ALVAREZ R","1","0.07"
"OSORIO-OLVERA L","1","0.07"
"OSTFELD RS","1","0.20"
"OTT JR","1","0.33"
"OTTO CRV","1","0.33"
"OUSTERHOUT BH","1","0.20"
"OUTHWAITE CL","1","0.17"
"OWENS AK","1","0.07"
"OZGUL A","1","0.25"
"PACHECO-ESQUIVEL J","1","0.14"
"PACHOMSKI A","1","0.20"
"PACZKOWSKI J","1","0.25"
"PADDING PI","1","0.17"
"PADILLA BJ","1","0.50"
"PADILLA P","1","0.11"
"PAIRMAN D","1","0.09"
"PAL S","1","0.17"
"PALACIO FX","1","0.33"
"PALACIOS V","1","0.13"
"PALAZON JA","1","0.20"
"PALAZON S","1","0.25"
"PALENSCAR K","1","0.11"
"PANDOLFO TJ","1","0.17"
"PANGAU-ADAM MZ","1","0.50"
"PANTHI S","1","0.20"
"PAOLINO RM","1","0.14"
"PARDO JM","1","0.07"
"PARKER DM","1","0.11"
"PARKER KA","1","0.25"
"PARNELL A","1","0.25"
"PARREN MK","1","0.20"
"PARRIS K","1","0.17"
"PARRISH JR","1","0.33"
"PARSONS B","1","0.11"
"PART T","1","0.14"
"PASQUALOTTO N","1","0.14"
"PASTOR P","1","0.14"
"PATANKAR V","1","0.20"
"PATEL P","1","0.17"
"PATEL S","1","0.25"
"PATERSON JT","1","0.20"
"PATTEN KA","1","0.33"
"PATTON PT","1","0.33"
"PAUDEL G","1","0.08"
"PAUDEL RP","1","0.14"
"PAULI BP","1","0.33"
"PAULI JN","1","0.25"
"PAULIOS AT","1","0.20"
"PAVIS J","1","0.11"
"PAVLACKY DL","1","0.20"
"PAWAR UR","1","0.14"
"PAXTON EH","1","0.14"
"PAYAN E","1","0.14"
"PE'ER G","1","0.17"
"PEABOTUWAGE I","1","0.20"
"PEACH MA","1","0.33"
"PEACOCK MM","1","0.08"
"PEELE AM","1","0.25"
"PEERY MZ","1","0.25"
"PENDERGAST ME","1","0.25"
"PENDLETON J","1","0.20"
"PENNATI R","1","0.06"
"PEOPLES BK","1","0.50"
"PEQUENO PACL","1","0.33"
"PEREIRA JMC","1","0.20"
"PEREIRA MJR","1","0.50"
"PEREIRA S","1","0.05"
"PEREZ-HERNANDEZ CG","1","0.13"
"PERILLO J","1","0.20"
"PEROTTO-BALDIVIESO HL","1","0.17"
"PERRY M","1","0.17"
"PERRY RW","1","0.13"
"PETERS VE","1","0.20"
"PETERSON AT","1","0.07"
"PETERSON SM","1","0.11"
"PETITPAS R","1","0.11"
"PETZOLD F","1","0.05"
"PFEIFER M","1","0.17"
"PFEIFFER S","1","0.11"
"PHILIPS A","1","0.33"
"PHOONJAMPA R","1","0.17"
"PHUMANEE W","1","0.17"
"PIAS KE","1","0.14"
"PICARD APD","1","0.25"
"PICHORIM M","1","0.25"
"PIERCE D","1","0.20"
"PIERCE NE","1","0.06"
"PILLE F","1","0.11"
"PINE WE","1","0.14"
"PINHEIRO MS","1","0.13"
"PIQUER-RODRIGUEZ M","1","0.10"
"PIRY S","1","0.14"
"PISANU B","1","0.20"
"PITMAN J","1","0.25"
"PITMAN RT","1","0.11"
"PIZZIO E","1","0.07"
"PLANILLO A","1","0.09"
"PLATTNER M","1","0.20"
"PLUMIER E","1","0.11"
"POESCH MS","1","0.14"
"POLEY LG","1","0.14"
"POLI L","1","0.06"
"POLLOCK KH","1","0.11"
"PONCIANO JM","1","0.25"
"POP MI","1","0.17"
"PORTISS R","1","0.14"
"POSSINGHAM HP","1","0.17"
"POST VAN DER BURG M","1","0.25"
"POTTER DS","1","0.17"
"POWELL GVN","1","0.25"
"POWELL LA","1","0.20"
"POWNEY GD","1","0.17"
"PRABHU M","1","0.17"
"PRADO E","1","0.25"
"PRANGE S","1","0.25"
"PRAVEEN J","1","0.33"
"PREMEAUX AR","1","0.25"
"PRESCOTT GW","1","0.11"
"PRESCOTT T","1","0.14"
"PRESTON DL","1","0.11"
"PREUSS TS","1","0.20"
"PREVEDELLO JA","1","0.17"
"PRICE SJ","1","0.20"
"PRINGLE CM","1","0.10"
"PRINS MD","1","0.06"
"PRIOL P","1","0.17"
"PROMBERGER-FURPASS B","1","0.25"
"PROUST N","1","0.02"
"PROWSE TAA","1","0.09"
"PRUGH LR","1","0.25"
"PRUNIER F","1","0.06"
"PRYKE JS","1","0.25"
"PUENTE-ROLON AR","1","0.17"
"PURWANDANA D","1","0.20"
"PYWELL RF","1","0.14"
"QUALLS CP","1","0.33"
"QUAN RC","1","0.17"
"QUIGLEY H","1","0.05"
"QUINONES-GUERRERO A","1","0.14"
"RABELO RM","1","0.33"
"RADVAN M","1","0.17"
"RAHLIN AA","1","0.33"
"RAHMAN HA","1","0.25"
"RAINBOLT RE","1","0.20"
"RALOVARISOA E","1","0.14"
"RAMIERE J","1","0.17"
"RAMIREZ-PARADA T","1","0.20"
"RAMP D","1","0.14"
"RAMSEIER P","1","0.17"
"RANDALL G","1","0.17"
"RANSOM JI","1","0.13"
"RAPACCIUOLO G","1","0.25"
"RAPPAPORT DI","1","0.33"
"RATHORE D","1","0.14"
"RATO D","1","0.17"
"RAVELOJAONA RN","1","0.14"
"RAVESI MJ","1","0.14"
"RAWSON BM","1","0.17"
"RAY JC","1","0.14"
"RAYAMAJHI T","1","0.14"
"RAZAFINDRAIBE JH","1","0.14"
"READ DS","1","0.11"
"READING RP","1","0.20"
"REED ET","1","0.33"
"REED SE","1","0.25"
"REICH BJ","1","0.17"
"REICHMAN A","1","0.17"
"REID J","1","0.17"
"REID SM","1","0.50"
"REIDY JL","1","0.25"
"REIGADA C","1","0.20"
"REINAGA A","1","0.13"
"REINERS TE","1","0.25"
"REN Y","1","0.13"
"RENNER SC","1","0.11"
"REPPUCCI J","1","0.25"
"RESH VH","1","0.25"
"RIBEIRO JW","1","0.25"
"RIBEIRO MC","1","0.17"
"RIBIC CA","1","0.33"
"RICE KG","1","0.11"
"RICE RA","1","0.13"
"RICH M","1","0.25"
"RICHARDSON LL","1","0.06"
"RICHARDSON TW","1","0.14"
"RICHMOND OM","1","0.11"
"RICHTER SC","1","0.20"
"RIDGWAY MS","1","0.33"
"RIECKE TV","1","0.25"
"RIEGEL JK","1","0.20"
"RIFFELL SK","1","0.13"
"RILEY JW","1","0.17"
"RILEY SPD","1","0.13"
"RINEHART KA","1","0.25"
"RIORDAN P","1","0.20"
"RISK BB","1","0.11"
"RIVAS LF","1","0.25"
"RIVERA-MILAN FF","1","0.25"
"RIVERO J","1","0.14"
"ROACH MC","1","0.33"
"ROACH NS","1","0.50"
"ROBERTS AJ","1","0.17"
"ROBERTS LJ","1","0.50"
"ROBIN VV","1","0.17"
"ROBINO F","1","0.07"
"ROBINSON D","1","0.07"
"ROBINSON N","1","0.05"
"ROBINSON NP","1","0.04"
"ROBLEDANO F","1","0.17"
"ROBLES RV","1","0.07"
"ROCHEFORT L","1","0.25"
"ROCHESTER CJ","1","0.13"
"ROCHFORD M","1","0.11"
"ROD-ERIKSEN L","1","0.17"
"RODE B","1","0.17"
"RODEWALD AD","1","0.17"
"RODGER AW","1","0.50"
"RODRIGUES FHG","1","0.33"
"RODRIGUES TF","1","0.14"
"RODRIGUEZ RM","1","0.17"
"RODRIGUEZ-RECIO M","1","0.20"
"ROGERS TP","1","0.25"
"ROHDE AT","1","0.06"
"ROHRBAUGH RW","1","0.17"
"ROHRER J","1","0.13"
"ROJAS-MURCIA LE","1","0.11"
"ROLAND CA","1","0.33"
"ROLAND VL","1","0.25"
"ROODBAL M","1","0.02"
"ROSA R","1","0.13"
"ROSALINO LM","1","0.13"
"ROSE JP","1","0.33"
"ROSEMAN EF","1","0.14"
"ROSENBERG KV","1","0.17"
"ROSENBERGER AE","1","0.14"
"ROSENLUND H","1","0.25"
"ROSENSTOCK SS","1","0.50"
"ROSKAFT E","1","0.13"
"ROSS BE","1","0.25"
"ROSS M","1","0.20"
"ROSSMAN S","1","0.17"
"ROTH T","1","0.50"
"ROWE DB","1","0.17"
"ROWINSKI P","1","0.25"
"ROY C","1","0.33"
"ROY DB","1","0.14"
"ROZYLOWICZ L","1","0.11"
"RUHL PJ","1","0.20"
"RUIZ J","1","0.11"
"RURIK AJ","1","0.25"
"RUSSELL K","1","0.11"
"RUSSELL RE","1","0.14"
"RUSTIGIAN-ROMSOS HL","1","0.14"
"RUTHRAUFF DR","1","0.20"
"RUTLEDGE BA","1","0.11"
"RYAN GE","1","0.13"
"RYDER TB","1","0.13"
"RYKKEN J","1","0.06"
"SAENZ-ESCOBAR MF","1","0.25"
"SAFFORD HD","1","0.14"
"SAHA GK","1","0.33"
"SALANT NL","1","0.25"
"SALGUERO AJ","1","0.20"
"SALTZ D","1","0.17"
"SALVADOR J","1","0.05"
"SALVATORI M","1","0.20"
"SALVI D","1","0.06"
"SAMELIUS G","1","0.14"
"SAMWAYS MJ","1","0.25"
"SAN ED","1","0.17"
"SANCHEZ A","1","0.11"
"SANCHEZ-GONZALEZ LA","1","0.07"
"SANCHEZ-LONDONO JD","1","0.17"
"SANDERCOCK BK","1","0.10"
"SANDERLIN JS","1","0.20"
"SANTOS F","1","0.05"
"SAPKOTA NS","1","0.09"
"SARACCO JF","1","0.33"
"SARASOLA JH","1","0.20"
"SASHIKA M","1","0.14"
"SATTERFIELD LC","1","0.17"
"SAUDER JD","1","0.33"
"SAUER EL","1","0.11"
"SAVRE T","1","0.14"
"SAWANT S","1","0.25"
"SAWYER SC","1","0.17"
"SAYER CD","1","0.11"
"SAYLOR CF","1","0.20"
"SBERZE M","1","0.11"
"SCALI S","1","0.06"
"SCARI G","1","0.06"
"SCHARFF N","1","0.25"
"SCHAUB R","1","0.11"
"SCHERL D","1","0.17"
"SCHLESINGER MD","1","0.25"
"SCHMID H","1","0.25"
"SCHREIER BM","1","0.17"
"SCHULTZ AD","1","0.25"
"SCHUMAN MJ","1","0.14"
"SCHUMANN DA","1","0.25"
"SCHUT K","1","0.25"
"SCHUTTLER E","1","0.17"
"SCHWALBE CR","1","0.17"
"SCHWALM D","1","0.10"
"SCHWARZER A","1","0.11"
"SCHWEITZER SH","1","0.11"
"SCOGNAMILLO DG","1","0.25"
"SCRETI A","1","0.13"
"SCROGGIE MP","1","0.13"
"SCULLY AE","1","0.25"
"SEAMANS ME","1","0.20"
"SEARLE CE","1","0.20"
"SEDDON PJ","1","0.20"
"SEE K","1","0.11"
"SEESHOLTZ AM","1","0.17"
"SEKERCIOGLU CH","1","0.25"
"SELEBATSO M","1","0.02"
"SELONEN V","1","0.25"
"SENN-IRLET B","1","0.17"
"SENO A","1","0.20"
"SENZAKI M","1","0.17"
"SEOANE J","1","0.20"
"SEPPI R","1","0.17"
"SERAFIM R","1","0.11"
"SERAFINI V","1","0.20"
"SETTLAGE RE","1","0.17"
"SETZ EZF","1","0.17"
"SEYRING M","1","0.05"
"SHAKYA AW","1","0.17"
"SHAMON H","1","0.17"
"SHARIEF A","1","0.13"
"SHARMA K","1","0.14"
"SHARMA LK","1","0.13"
"SHEFFIELD CS","1","0.06"
"SHEIL D","1","0.05"
"SHELDON F","1","0.17"
"SHEPHERD B","1","0.25"
"SHERRILL KR","1","0.10"
"SHERRY TW","1","0.25"
"SHERUB S","1","0.33"
"SHIKLOMANOV AN","1","0.20"
"SHIMOZURU M","1","0.14"
"SHINDERMAN M","1","0.10"
"SHOKIROV Q","1","0.33"
"SHORTALL CR","1","0.14"
"SHRESTHA S","1","0.09"
"SHU ZF","1","0.20"
"SHUTE PW","1","0.20"
"SIBIYA M","1","0.20"
"SIFFERT O","1","0.17"
"SIGNER J","1","0.20"
"SIITONEN J","1","0.14"
"SIKORA A","1","0.50"
"SILVA TL","1","0.33"
"SILVA-ROCHA I","1","0.06"
"SILVEIRA L","1","0.17"
"SIMAL F","1","0.25"
"SIMONS TR","1","0.11"
"SIMPSON SJ","1","0.14"
"SINGH H","1","0.13"
"SINGH I","1","0.13"
"SINGH R","1","0.20"
"SINK K","1","0.25"
"SIQUEIRA T","1","0.25"
"SKERRATT LF","1","0.33"
"SLABBERT R","1","0.17"
"SLAUSON KM","1","0.14"
"SMIT-ROBINSON H","1","0.33"
"SMITH AB","1","0.50"
"SMITH BJ","1","0.11"
"SMITH DAE","1","0.25"
"SMITH F","1","0.11"
"SMITH GD","1","0.20"
"SMITH L","1","0.17"
"SMITH MM","1","0.50"
"SMITH YE","1","0.25"
"SNALL T","1","0.14"
"SOBERON J","1","0.07"
"SOCOLAR JB","1","0.20"
"SOH MCK","1","0.13"
"SOLANO-ZAVALETA I","1","0.25"
"SOLIMINI A","1","0.13"
"SORENSEN JA","1","0.11"
"SOUTHEE FM","1","0.14"
"SPARKMAN AM","1","0.25"
"SPARROW D","1","0.06"
"SPENCER J","1","0.17"
"SPENCER WD","1","0.14"
"SPENGLER T","1","0.05"
"SPEZIA L","1","0.20"
"SPIRONELLO WR","1","0.07"
"SQUIRES JR","1","0.20"
"SQUIRES MA","1","0.11"
"SREDL MJ","1","0.07"
"SREEKAR R","1","0.17"
"SRIVASTAVA DS","1","0.25"
"SRIVATHSA A","1","0.20"
"STABACH JA","1","0.14"
"STAMATION KA","1","0.13"
"STANTON RA","1","0.20"
"STARKS TA","1","0.50"
"STEEL ZL","1","0.20"
"STEER MA","1","0.09"
"STEIDL RJ","1","0.50"
"STEIN A","1","0.02"
"STEIN J","1","0.14"
"STEINMETZ R","1","0.17"
"STETZ JB","1","0.17"
"STEVENSON DJ","1","0.25"
"STEWART DR","1","0.20"
"STEWART-KOSTER B","1","0.17"
"STIEN A","1","0.17"
"STIEN J","1","0.17"
"STILLFRIED M","1","0.09"
"STILLMAN AN","1","0.17"
"STINSON LT","1","0.20"
"STODOLA KW","1","0.17"
"STOJANOVIC D","1","0.17"
"STONER DC","1","0.20"
"STORCH I","1","0.20"
"STRAKA TM","1","0.09"
"STRAMPELLI P","1","0.20"
"STRANGE JP","1","0.06"
"STREET GM","1","0.09"
"STRINDBERG S","1","0.13"
"STRUEBIG MJ","1","0.20"
"STUART IG","1","0.13"
"STUBER EF","1","0.20"
"STUDDS CE","1","0.14"
"SUAZO-ORTUNO I","1","0.20"
"SUBBA SA","1","0.08"
"SUBEDI N","1","0.14"
"SUBEDI S","1","0.08"
"SUHLING F","1","0.05"
"SULLIVAN PJ","1","0.14"
"SUM P","1","0.13"
"SUMMERS S","1","0.17"
"SUN P","1","0.33"
"SUN YF","1","0.13"
"SUNARTO S","1","0.04"
"SUNDAR KSG","1","0.50"
"SUTCLIFF R","1","0.02"
"SUTTON N","1","0.20"
"SWALLOW B","1","0.25"
"SWARTHOUT SB","1","0.17"
"SWARTWOUT MC","1","0.17"
"SWARTZ LK","1","0.25"
"SWILLING WR","1","0.11"
"SWORD GA","1","0.14"
"SYTSMA MLT","1","0.25"
"SZEWCZAK JM","1","0.17"
"SZEWCZYK TM","1","0.50"
"TABLADO Z","1","0.17"
"TACK JD","1","0.20"
"TAKI H","1","0.25"
"TAKTEHRANI A","1","0.04"
"TALAMO A","1","0.17"
"TALLAMY DW","1","0.33"
"TANDIN T","1","0.25"
"TANNER JE","1","0.09"
"TARBILL GL","1","0.14"
"TAYLOR SS","1","0.33"
"TCHIN LT","1","0.07"
"TEATOR M","1","0.20"
"TECKLIN J","1","0.11"
"TEETS KD","1","0.33"
"TEGELER AK","1","0.25"
"TEIXEIRA D","1","0.13"
"TEJEDA V","1","0.14"
"TELLA JL","1","0.17"
"TEMPEL DJ","1","0.50"
"TENDRON P","1","0.11"
"TENHUMBERG B","1","0.17"
"TERANDO AJ","1","0.17"
"TETSUYA T","1","0.25"
"TETZLAFF SJ","1","0.14"
"TEWES ME","1","0.17"
"THAKUR M","1","0.13"
"THANET DR","1","0.14"
"THAPA MK","1","0.09"
"THAYER L","1","0.20"
"THEISINGER O","1","0.20"
"THILL RE","1","0.13"
"THOMAS P","1","0.17"
"THOMAS RF","1","0.17"
"THOMAS SM","1","0.11"
"THOMPSON C","1","0.25"
"THOMPSON JJ","1","0.17"
"THOMPSON L","1","0.20"
"THOMSON JR","1","0.07"
"THORNTON DH","1","0.25"
"THORNTON DJ","1","0.13"
"THORSEN NH","1","0.14"
"TIAN SY","1","0.13"
"TIBBITTS TL","1","0.20"
"TILLEY D","1","0.06"
"TING NTK","1","0.07"
"TOBAJAS J","1","0.20"
"TOBLER U","1","0.17"
"TOLLIVER JDM","1","0.50"
"TOMAS WM","1","0.17"
"TOMLINSON KW","1","0.17"
"TOMS MP","1","0.25"
"TORRES NM","1","0.17"
"TORRES RT","1","0.13"
"TORRES-FLOREZ JP","1","0.11"
"TOWNSEND SE","1","0.33"
"TOZER DC","1","0.33"
"TRAN DV","1","0.17"
"TRAVAINI A","1","0.20"
"TREE A","1","0.20"
"TREMBLAY JP","1","0.33"
"TRINDADE JPP","1","0.20"
"TROCKUR B","1","0.05"
"TRONSTAD LM","1","0.06"
"TRUAN ML","1","0.33"
"TRUDEAU C","1","0.17"
"TSHIMOLOGO B","1","0.02"
"TSUBOTA T","1","0.14"
"TUCKER JM","1","0.04"
"TULLOCH AIT","1","0.14"
"TVERAA T","1","0.17"
"TYRRELL PD","1","0.11"
"TZANOPOULOS J","1","0.14"
"TZILKOWSKI CJ","1","0.25"
"UDELL BJ","1","0.13"
"UMBANHOWAR J","1","0.33"
"UMUNTUNUNDI P","1","0.33"
"URBINA Y","1","0.05"
"URIBE CAM","1","0.11"
"URSO A","1","0.06"
"UTRERAS V","1","0.33"
"UZABAHO E","1","0.05"
"UZARSKI DG","1","0.25"
"VALANKO S","1","0.33"
"VALDES S","1","0.09"
"VALENZUELA L","1","0.17"
"VALLECILLO D","1","0.11"
"VALLEJO-VARGAS AF","1","0.05"
"VALLES H","1","0.33"
"VAN DEN BURG MP","1","0.25"
"VAN DEN TOP GG","1","0.06"
"VAN DER MEIJ T","1","0.25"
"VAN GRUNSVEN RHA","1","0.06"
"VAN HEEZIK Y","1","0.20"
"VAN MIERLO VA","1","0.14"
"VAN SCHALKWYK J","1","0.25"
"VAN SCHMIDT N","1","0.11"
"VAN SWAAY CAM","1","0.33"
"VAN TN","1","0.17"
"VAN WAGENSVELD TP","1","0.25"
"VANAPPELGHEM C","1","0.06"
"VANAU G","1","0.11"
"VANDER YACHT AL","1","0.17"
"VANDEWALLE P","1","0.11"
"VANEK JP","1","0.20"
"VANLEEUWE H","1","0.06"
"VARGAS CF","1","0.11"
"VARGAS-CASTILLO A","1","0.33"
"VASHON JH","1","0.20"
"VASQUEZ-MARTINEZ R","1","0.07"
"VASUDEVAN K","1","0.50"
"VEILLEUX MAN","1","0.14"
"VELASQUEZ-C K","1","0.14"
"VELHO N","1","0.17"
"VENTICINQUE EM","1","0.20"
"VERAN S","1","0.14"
"VERBYLA DL","1","0.25"
"VERCAUTEREN T","1","0.25"
"VERGARA PM","1","0.13"
"VERON G","1","0.20"
"VERRASTRO L","1","0.25"
"VERSFELD WF","1","0.17"
"VERSIANI NF","1","0.14"
"VIALET E","1","0.11"
"VICENTE J","1","0.25"
"VIDDI FA","1","0.11"
"VIERLING KT","1","0.17"
"VIERLING LA","1","0.17"
"VILELLA FJ","1","0.13"
"VILLAGRAN AM","1","0.07"
"VILLANUA D","1","0.20"
"VILLAR N","1","0.25"
"VINDSTAD OPL","1","0.33"
"VISCARRA M","1","0.13"
"VISHNUDAS CK","1","0.17"
"VITEKERE K","1","0.17"
"VOGELER JC","1","0.14"
"VOLPE JP","1","0.33"
"VON FELTEN S","1","0.17"
"VON MUHLEN EM","1","0.25"
"VU TT","1","0.17"
"VUCETICH JA","1","0.20"
"VYNNE C","1","0.13"
"WAITS LP","1","0.25"
"WALK JW","1","0.17"
"WALKER RS","1","0.25"
"WALLACE R","1","0.13"
"WALLACE ZP","1","0.20"
"WALLACH AD","1","0.14"
"WALLISDEVRIES MF","1","0.06"
"WALSH SJ","1","0.17"
"WANG DJ","1","0.25"
"WANG J","1","0.17"
"WANG JX","1","0.06"
"WANG L","1","0.06"
"WANG X","1","0.25"
"WANG ZY","1","0.06"
"WANGDI S","1","0.25"
"WANN GT","1","0.25"
"WARD MP","1","0.17"
"WARD TM","1","0.09"
"WASEEM M","1","0.10"
"WASSENS S","1","0.17"
"WATSON C","1","0.11"
"WATTS BD","1","0.11"
"WEARN OR","1","0.17"
"WEBB MH","1","0.17"
"WEBBER AF","1","0.33"
"WEDDERBURN SD","1","1.00"
"WEISE FJ","1","0.02"
"WEISKOPF SR","1","0.20"
"WELDON A","1","0.11"
"WELLS HBM","1","0.14"
"WELLS K","1","0.11"
"WELLS M","1","0.14"
"WEN QZ","1","0.06"
"WENG Y","1","0.13"
"WESCHE SL","1","0.17"
"WESOLOWSKI T","1","0.25"
"WESTON MA","1","0.17"
"WESTPHAL J","1","0.17"
"WHEAT BR","1","0.13"
"WHEATLEY M","1","0.33"
"WHEEDLETON S","1","0.20"
"WHEELER K","1","0.17"
"WHITE D","1","0.13"
"WHITE GC","1","0.20"
"WHITEHEAD AL","1","0.09"
"WHITESELL C","1","0.02"
"WHITMAN M","1","0.14"
"WHITTINGTON-JONES G","1","0.11"
"WIDODO FA","1","0.04"
"WIGLEY TB","1","0.13"
"WIKLE CK","1","0.14"
"WILEY DN","1","0.33"
"WILK AJ","1","0.25"
"WILKE AL","1","0.11"
"WILKINS LGE","1","0.20"
"WILLIAMS KS","1","0.11"
"WILLIAMS LA","1","0.25"
"WILLIAMS PJ","1","0.25"
"WILLIAMS R","1","0.11"
"WILLIAMS SG","1","0.25"
"WILLIAMS ST","1","0.11"
"WILLIGALLA C","1","0.05"
"WILMOTH SC","1","0.25"
"WILSON HB","1","0.14"
"WILSON S","1","0.33"
"WILSON TL","1","0.20"
"WINDELS SK","1","0.17"
"WINGARD G","1","0.20"
"WINNE CT","1","0.33"
"WINTERBACH C","1","0.02"
"WINTERHOLLER M","1","0.06"
"WOLSKA A","1","0.25"
"WOMACK-BULLINER KM","1","0.25"
"WOMBLE JN","1","0.25"
"WONG GTN","1","0.07"
"WONG WM","1","0.08"
"WOOD CM","1","0.25"
"WOOD EM","1","0.17"
"WOOD PB","1","0.17"
"WOODCOCK BA","1","0.14"
"WOODFORD LP","1","0.33"
"WOODGATE Z","1","0.33"
"WOOSTER EIF","1","0.14"
"WRIGHT EF","1","0.17"
"WRONSKI T","1","0.33"
"WU CY","1","0.06"
"WULFF M","1","0.11"
"WULTSCH C","1","0.04"
"WYATT FR","1","0.14"
"XIAO YQ","1","0.13"
"XOFIS P","1","0.14"
"XU CCY","1","0.06"
"YABUHARA Y","1","0.17"
"YADAV RK","1","0.14"
"YAGUI H","1","0.14"
"YAMANE Y","1","0.11"
"YANCO E","1","0.14"
"YANG CY","1","0.06"
"YANG ZX","1","0.06"
"YEN JDL","1","0.20"
"YIRKA LM","1","0.25"
"YORK G","1","0.25"
"YU DW","1","0.06"
"ZACCAGNINI ME","1","0.25"
"ZAMAN M","1","0.17"
"ZAMBRANO AA","1","0.20"
"ZAPATA-RIOS G","1","0.33"
"ZAPPALLA A","1","0.25"
"ZAVALETA A","1","0.14"
"ZEILINGER AR","1","0.25"
"ZELLER KA","1","0.05"
"ZHANG DD","1","0.13"
"ZHANG Q","1","0.20"
"ZHANG ZJ","1","0.13"
"ZHAO QQ","1","0.13"
"ZHOU WJ","1","0.20"
"ZHU MY","1","0.17"
"ZIELINSKI WJ","1","0.14"
"ZIMMERMAN CE","1","0.14"
"ZIMMERMANN F","1","0.20"
"ZMIHORSKI M","1","0.14"
"ZOBELL VM","1","0.50"
"ZOLLNER PA","1","0.33"
"ZUANON J","1","0.25"
"ZUBILETA IS","1","0.07"
"ZULIAN V","1","0.33"
"ZUNIGA-VEGA JJ","1","0.25"
