"Authors","Articles","Articles Fractionalized"
"BHATTARAI N","1","0.17"
"BHATTARAI S","1","0.14"
"BICCA-MARQUES JC","1","0.33"
"BIJACK NJC","1","0.07"
"BINO G","1","0.17"
"BISSONETTE JA","1","0.25"
"BISTA D","1","0.09"
"BITARIHO R","1","0.05"
"BITSINDOU A","1","0.06"
"BITTNER T","1","0.05"
"BJELKE U","1","0.06"
"BJORK R","1","0.08"
"BLAALID R","1","0.10"
"BLACKBURN JK","1","0.25"
"BLACKMAN RC","1","0.11"
"BLAKESLEY JA","1","0.20"
"BLAKEY RV","1","0.14"
"BLANC F","1","0.20"
"BLANC L","1","0.20"
"BLANCO CM","1","0.50"
"BLANCO-AGUIAR JA","1","0.25"
"BLANGIARDO M","1","0.13"
"BLANK PJ","1","0.20"
"BLASS CR","1","0.25"
"BLENDINGER PG","1","0.10"
"BLOCK WM","1","0.20"
"BLUM AG","1","0.33"
"BLY B","1","0.25"
"BOASE JC","1","0.14"
"BOEHNING-GAESE K","1","0.11"
"BOETTCHER R","1","0.11"
"BOHARA D","1","0.08"
"BOHM SM","1","0.11"
"BOHUS A","1","0.20"
"BOMAN E","1","0.25"
"BONACIC C","1","0.11"
"BONAVIGO PH","1","0.25"
"BOND ML","1","0.50"
"BONN A","1","0.05"
"BONNEAU M","1","0.13"
"BONNER SJ","1","0.20"
"BONNOT TW","1","0.33"
"BONSEL A","1","0.05"
"BONSEN GT","1","0.14"
"BONTER DN","1","0.17"
"BOONE EL","1","0.17"
"BORDAGE D","1","0.17"
"BORKHATARIA RR","1","0.13"
"BORNER K","1","0.09"
"BORON V","1","0.14"
"BORTOLOTTI GR","1","0.50"
"BOTERO-CANOLA S","1","0.17"
"BOUCHARD C","1","0.11"
"BOUFFARD MC","1","0.20"
"BOULEY P","1","0.33"
"BOUROS G","1","0.17"
"BOWER MR","1","0.25"
"BOWLER DE","1","0.05"
"BOWLES M","1","0.02"
"BOYCE MS","1","0.25"
"BRADBURY S","1","0.50"
"BRADKE DR","1","0.14"
"BRADY RS","1","0.20"
"BRASSINE A","1","0.02"
"BRAUD Y","1","0.17"
"BRAWN JD","1","0.17"
"BRECKHEIMER IK","1","0.14"
"BREHERET N","1","0.06"
"BREININGER DJ","1","0.25"
"BREININGER RD","1","0.25"
"BREJAO GL","1","0.25"
"BRENNAN LA","1","0.25"
"BRERETON TM","1","0.14"
"BREWER MJ","1","0.20"
"BRIGGS AS","1","0.14"
"BRIGGS-GONZALEZ V","1","0.11"
"BRINCK KW","1","0.14"
"BRITTAIN S","1","0.20"
"BROADBENT E","1","0.20"
"BRODIE BS","1","0.11"
"BROMMER JE","1","0.25"
"BROOK BW","1","0.09"
"BROSI B","1","0.17"
"BROWN DJ","1","0.17"
"BROWN LR","1","0.11"
"BROWNE L","1","0.20"
"BRUELHEIDE H","1","0.05"
"BRUSA JL","1","0.20"
"BRUSSEE BE","1","0.13"
"BUCKLAND ST","1","0.25"
"BUCKLEY DS","1","0.17"
"BUDY P","1","0.25"
"BUEDI EB","1","0.17"
"BUENDIA C","1","0.14"
"BUISSON L","1","0.20"
"BULLOCK JM","1","0.14"
"BUMP JK","1","0.20"
"BUNN SE","1","0.17"
"BURBACH K","1","0.06"
"BURKHALTER C","1","0.11"
"BURNETT RD","1","0.50"
"BURNS T","1","0.17"
"BUSH CL","1","0.17"
"BUSSO JM","1","0.14"
"BUSTAMANTE J","1","0.25"
"BUXTON AS","1","0.25"
"BUZZARD PJ","1","0.33"
"BYERLY PA","1","0.25"
"CABELLO J","1","0.13"
"CABRERA J","1","0.14"
"CACCIANIGA M","1","0.17"
"CALDERON AP","1","0.05"
"CALDERON-PARRA R","1","0.07"
"CALL EM","1","0.17"
"CAM E","1","0.33"
"CAMERON AD","1","0.25"
"CAMPA H","1","0.17"
"CAMPBELL RD","1","0.13"
"CANDELARIO L","1","0.17"
"CANEDOLI C","1","0.06"
"CANNINGS S","1","0.06"
"CANNON JB","1","0.25"
"CAPUTO B","1","0.13"
"CARAZO-SALAZAR J","1","0.05"
"CARDADOR L","1","0.17"
"CARDENAS JS","1","0.11"
"CARLE RD","1","0.20"
"CARLSON SM","1","0.20"
"CARMICHAEL RH","1","0.20"
"CARRETE M","1","0.17"
"CARRETERO MA","1","0.06"
"CARRILLO-PERCASTEGUI SE","1","0.25"
"CARRILLO-RUBIO E","1","0.14"
"CARROLL CR","1","0.20"
"CARTER SP","1","0.17"
"CARVALHO EAR","1","0.25"
"CASHINS SD","1","0.33"
"CASPER AF","1","0.20"
"CASSEL KW","1","0.20"
"CASTANEDA F","1","0.05"
"CASTANEDA PGD","1","0.11"
"CASTILLO JA","1","0.10"
"CASTLEBERRY SB","1","0.50"
"CASTRO G","1","0.13"
"CATLIN DH","1","0.17"
"CATTERALL CP","1","0.07"
"CAVADA N","1","0.25"
"CAYUELA H","1","0.20"
"CECALA KK","1","0.10"
"CERQUEIRA MC","1","0.11"
"CHABOT EJ","1","0.25"
"CHADWICK A","1","0.17"
"CHAMBERT T","1","0.11"
"CHAMPAGNON J","1","0.11"
"CHAN KMA","1","0.25"
"CHANDLER RE","1","0.17"
"CHANDRA K","1","0.13"
"CHARBONNEL A","1","0.20"
"CHASE M","1","0.02"
"CHAUDHARY R","1","0.25"
"CHAUVET E","1","0.06"
"CHELGREN ND","1","0.08"
"CHEN DJ","1","0.33"
"CHEN GK","1","0.20"
"CHEN MH","1","0.25"
"CHENIER C","1","0.14"
"CHERRY MJ","1","0.25"
"CHESTNUT T","1","0.14"
"CHETKIEWICZ CLB","1","0.14"
"CHIOTTI JA","1","0.14"
"CHIRIAC S","1","0.17"
"CIOCANEA C","1","0.11"
"CIOFI C","1","0.20"
"CLARK DA","1","0.33"
"CLARKE MF","1","0.07"
"CLEMENT MJ","1","0.50"
"CLEMENTS GR","1","0.08"
"CLEO F","1","0.07"
"CLIPP HL","1","0.20"
"CLISBY N","1","0.09"
"CLOYED CS","1","0.20"
"CLUCAS B","1","0.20"
"COBB DT","1","0.25"
"COBOS C","1","0.07"
"COBOS ME","1","0.07"
"CODE S","1","0.25"
"COETSEE AL","1","0.20"
"COGALNICEANU D","1","0.25"
"COHEN MM","1","0.17"
"COHEZ D","1","0.11"
"COHN-HAFT M","1","0.11"
"COLEMAN M","1","0.09"
"COLLINS K","1","0.02"
"COLLINS T","1","0.06"
"COLODRO V","1","0.20"
"COLVIN ME","1","0.25"
"COMBRISSON D","1","0.17"
"COMER CE","1","0.25"
"COMLEY J","1","0.11"
"COMPOSTELLA C","1","0.17"
"COMPTON JA","1","0.11"
"CONNER LM","1","0.25"
"CONNER MM","1","0.25"
"CONTRERAS-DIAZ RG","1","0.07"
"CONWAY WC","1","0.25"
"COOCH EG","1","0.14"
"COOK JD","1","0.25"
"COOK R","1","0.17"
"COOK RN","1","0.20"
"COOKE SJ","1","0.14"
"COOKSLEY SL","1","0.20"
"COON CAC","1","0.20"
"COOP JD","1","0.33"
"COOPER WJ","1","0.25"
"COPE WG","1","0.17"
"COPELAND HE","1","0.11"
"CORCORAN D","1","0.14"
"CORLETT RT","1","0.17"
"CORRAL L","1","0.20"
"COSTA S","1","0.07"
"COSTA TVV","1","0.11"
"COTE SD","1","0.33"
"COULSON T","1","0.14"
"COUTO TBD","1","0.25"
"COUTURIER T","1","0.17"
"COZZI G","1","0.02"
"CRABTREE RL","1","0.11"
"CRAMPTON LH","1","0.14"
"CRAWFORD CL","1","0.11"
"CREGO RD","1","0.14"
"CROMSIGT JPGM","1","0.14"
"CRONE E","1","0.11"
"CROOSE E","1","0.17"
"CROSBY AD","1","0.50"
"CROVETTO F","1","0.33"
"CROWE A","1","0.14"
"CRUICKSHANK SS","1","0.33"
