Element,h_index,g_index,m_index,TC,NP,PY_start
DORAZIO RM,2,2,0.133,198,2,2009
DUGGER KM,2,3,0.154,72,3,2011
FALASCHI M,2,4,0.5,19,5,2020
FARR MT,2,3,0.4,22,3,2019
FAULKNER SP,2,2,0.182,21,2,2013
FERREIRA GB,2,2,0.286,26,2,2017
FIRTH RSC,2,2,0.286,50,2,2017
FISHER RN,2,2,0.167,68,2,2012
FISHER S,2,2,0.333,28,2,2018
FONTAINE JJ,2,2,0.2,11,2,2014
FORSYTH DM,2,3,0.333,21,3,2018
FOURNIER V,2,2,0.5,20,2,2020
FRANKLIN MJM,2,2,0.5,8,2,2020
FYUMAGWA R,2,2,0.25,22,2,2016
GALVEZ N,2,2,0.182,57,2,2013
GANN SL,2,2,0.2,11,2,2014
GE JP,2,2,0.4,28,2,2019
GEYLE HM,2,2,0.286,50,2,2017
GILBERT AT,2,2,0.111,406,2,2006
GIMENEZ O,2,2,0.2,29,2,2014
GIORDANO AJ,2,2,0.182,135,2,2013
GOMEZ MD,2,3,0.333,25,3,2018
GOMEZ-VALENCIA B,2,2,0.4,29,2,2019
GOVINDAN BN,2,2,0.167,21,2,2012
GRAVES TA,2,2,0.167,29,2,2012
GREEN AW,2,2,0.182,45,2,2013
GUHARAJAN R,2,3,0.667,9,3,2021
GUZY JC,2,2,0.286,14,2,2017
HAGEN CA,2,2,0.25,22,2,2016
HALLORAN KM,2,2,0.286,14,2,2017
HAMER AJ,2,3,0.667,10,4,2021
HANDEL CM,2,2,0.2,73,2,2014
HARMSEN BJ,2,2,0.286,100,2,2017
HEBBLEWHITE M,2,2,0.222,110,2,2015
HENSCHEL P,2,2,0.5,11,2,2020
HILEMAN ET,2,2,0.333,29,2,2018
HILL JM,2,2,0.2,16,2,2014
HOCHACHKA WM,2,2,0.154,90,2,2011
HOFMEESTER TR,2,2,0.5,18,2,2020
HOLLAND AM,2,2,0.4,9,2,2019
HOLLOWAY-ADKINS KG,2,2,0.2,11,2,2014
IMS RA,2,2,0.182,19,2,2013
IOSIF R,2,3,0.286,20,3,2017
IVAN JS,2,3,0.333,18,3,2018
JACHOWSKI DS,2,2,0.4,10,2,2019
JACKSON CR,2,2,0.333,23,2,2018
JENNI L,2,2,0.333,36,2,2018
JIMENEZ J,2,4,0.25,28,4,2016
JOHNSINGH AJT,2,2,0.154,42,2,2011
JOHNSON DS,2,2,0.154,25,2,2011
JOHNSON M,2,2,0.4,13,2,2019
JOSHI AA,2,2,0.2,34,2,2014
KALIES EL,2,2,0.182,111,2,2013
KANNO Y,2,2,0.2,100,2,2014
KARANTH KU,2,2,0.167,45,2,2012
KASZTA Z,2,2,0.667,12,2,2021
KELLNER KF,2,4,0.25,27,4,2016
KISSING J,2,3,0.333,11,3,2018
KLEIN R,2,3,0.333,33,3,2018
KNUTSON MG,2,2,0.095,1239,2,2003
LAGAN P,2,2,0.667,9,2,2021
LAMICHHANE BR,2,3,0.4,14,3,2019
LEASURE DR,2,2,0.286,16,2,2017
LEGARE SA,2,2,0.2,11,2,2014
LEON-ORTEGA M,2,2,0.286,23,2,2017
LESMEISTER DB,2,3,0.222,134,3,2015
LETCHER BH,2,2,0.2,100,2,2014
LEU M,2,2,0.286,10,2,2017
LI XY,2,2,0.333,17,2,2018
LINDENMAYER DB,2,2,0.222,40,2,2015
LINK WA,2,2,0.091,93,2,2002
LITT AR,2,2,0.5,17,2,2020
LO PARRINO E,2,3,0.333,56,3,2018
LOFFLAND HL,2,2,0.4,28,2,2019
LOMBARDI JV,2,2,0.286,51,2,2017
LORCH PD,2,2,0.4,37,2,2019
LUTHER DA,2,2,0.4,12,2,2019
LYET A,2,2,0.25,14,2,2016
MADHUSUDAN MD,2,3,0.154,74,3,2011
MADSEN EK,2,2,0.5,12,2,2020
MADSEN L,2,2,0.154,256,2,2011
MANLEY PN,2,2,0.182,47,2,2013
MARRA PP,2,3,0.286,81,3,2017
MARTIN JA,2,2,0.286,50,2,2017
MASOZERA MK,2,2,0.4,28,2,2019
MAZZOTTI FJ,2,3,0.167,20,3,2012
MCCAFFERY R,2,2,0.25,35,2,2016
MCGRANN MC,2,2,0.25,31,2,2016
MCNUTT JW,2,2,0.25,92,2,2016
MEYER NFV,2,2,0.5,28,2,2020
MICHEL NL,2,2,0.333,6,2,2018
MILLS DR,2,2,0.4,41,2,2019
MISHRA C,2,2,0.667,6,2,2021
MOHAMED A,2,2,0.333,6,2,2018
MOLL RJ,2,3,0.4,37,3,2019
MONADJEM A,2,2,0.4,20,2,2019
MONROE AP,2,2,0.333,20,2,2018
MOORE JF,2,2,0.4,28,2,2019
MORDECAI RS,2,2,0.143,106,2,2010
MORENO R,2,2,0.5,28,2,2020
MOSHER BA,2,2,0.333,22,2,2018
MULINDAHABI F,2,2,0.4,28,2,2019
MURARO M,2,3,0.333,56,3,2018
MURPHY AJ,2,2,0.286,27,2,2017
MURPHY BP,2,2,0.286,50,2,2017
MWAMPETA SB,2,2,0.25,22,2,2016
NICHOLSON E,2,3,0.286,51,3,2017
NIEDBALLA J,2,2,0.333,6,2,2018
NOWAK JJ,2,2,0.25,30,2,2016
O'BRYAN CJ,2,2,0.2,22,2,2014
O'CONNELL AF,2,2,0.111,406,2,2006
O'DONNELL KM,2,2,0.2,81,2,2014
O'NEIL ST,2,2,0.333,26,2,2018
O'RIAIN MJ,2,3,0.286,32,3,2017
OBER HK,2,2,0.286,16,2,2017
OBEROSLER V,2,3,0.5,27,3,2020
ODDY DM,2,2,0.2,11,2,2014
OLDEN JD,2,2,0.182,36,2,2013
OLIVA-PATERNA FJ,2,2,0.667,7,2,2021
OLIVEIRA MJR,2,2,0.286,26,2,2017
ORMSBEE PC,2,2,0.222,69,2,2015
PACIFICI K,2,3,0.25,11,3,2016
PEJCHAR L,2,2,0.2,41,2,2014
PELLET J,2,3,0.105,198,3,2005
PEREIRA-RIBEIRO J,2,2,0.333,27,2,2018
PETROELJE TR,2,2,0.222,7,2,2015
PILLAY R,2,3,0.154,74,3,2011
PORTER WF,2,2,0.333,5,3,2018
POTOKA KM,2,2,0.222,16,2,2015
PRIOTTO JW,2,4,0.333,26,4,2018
RAGHUNATH R,2,2,0.154,42,2,2011
RAMSEY DSL,2,3,0.333,21,3,2018
RATELOLAHY F,2,2,0.2,49,2,2014
REED RN,2,2,0.286,20,2,2017
REICHERT BE,2,2,0.286,29,2,2017
REYNA-HURTADO R,2,2,0.5,28,2,2020
RITCHIE EG,2,2,0.4,16,2,2019
ROBINSON SK,2,2,0.333,28,2,2018
ROBISON T,2,2,0.4,37,2,2019
ROCHA CFD,2,2,0.333,27,2,2018
ROTELLA JJ,2,2,0.4,10,2,2019
ROTENBERRY JT,2,2,0.167,14,2,2012
SAAB VA,2,2,0.25,21,2,2016
SALOM-PEREZ R,2,2,0.333,36,2,2018
SAM MK,2,2,0.154,138,2,2011
SANTOS-REIS M,2,3,0.154,63,3,2011
SAVINI T,2,2,0.5,11,2,2020
SCHERER RD,2,2,0.286,10,2,2017
SCHMERA D,2,2,0.667,9,2,2021
SEGLUND AE,2,2,0.333,16,2,2018
SERAFINI VN,2,3,0.4,16,3,2019
