Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
2273,"stuber, erica f.",4,4,1,2,4,0.7,0,66,1,6,0.000033
2274,"stuber, matthew j.",4,4,1,8,4,0.7,0,82,1,6,0.000038
2275,"studds, colin e.",6,6,1,5,6,1,0,136,1,15,0.000058
2276,"suazo-ortuno, ireri",4,4,1,0,4,1,0,59,1,6,0.000025
2277,"subba, samundra ambuhang",12,12,1,0,12,0.17129,0,0,1,66,0.003686
2278,"subedi, naresh",6,6,1,1,6,0.607143,0,51,1,15,0.000081
2279,"subedi, suman",12,12,1,0,12,0.17129,0,0,1,66,0.003686
2280,"suhling, frank",18,18,1,16,18,0.144271,0,0,1,153,0.003289
2281,"sullivan, patrick j.",6,6,1,21,6,0.177438,0,0,1,15,0.000243
2282,"sum, phearun",7,7,1,1,7,0.440678,0,20,1,21,0.00015
2283,"summers, savanna",5,5,1,3,5,0.193619,0,0,1,10,0.000267
2284,"sun, ping",2,2,1,1,2,1,0,200,1,1,0.000008
2285,"sun, yifei",7,7,1,7,7,0.733333,0,149,1,21,0.000115
2286,"sunarto, s.",23,23,1,68,23,0.204749,0,0,1,253,0.070826
2287,"sundar, k. s. gopi",1,1,1,17,1,1,0,185,0,0,0.000003
2288,"suryawanshi, k. r.",12,12,2,7,12,0.162978,0.002462,0,0.454545,30,0.000272
2289,"sutcliff, robert",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2290,"sutherland, christopher",22,26,7,56,22,0.154283,0.006137,0,0.25974,60,0.000709
2291,"sutton, n",4,4,1,309,4,0.207575,0,0,1,6,0.000353
2292,"swallow, ben",3,3,1,12,3,1,0,95,1,3,0.000015
2293,"swanepoel, lourens h.",5,8,2,12,5,0.133762,0,0,1,10,0.000104
2294,"swarthout, sara barker",5,5,1,2,5,0.11406,0,0,1,10,0.000048
2295,"swartwout, meredith c.",5,5,1,2,5,0.441176,0,41,1,10,0.000047
2296,"swartz, leah k.",3,3,1,3,3,0.16985,0,0,1,3,0.000232
2297,"swihart, rk",7,8,4,140,7,0.191417,0.0028,0,0.333333,7,0.000195
2298,"swilling, william r.",8,8,1,10,8,0.170115,0,0,1,28,0.000204
2299,"sword, gregory a.",6,6,1,35,6,0.193938,0,0,1,15,0.000305
2300,"sytsma, mira l. t.",3,3,1,0,3,0.170013,0,0,1,3,0.000081
2301,"szewczak, joseph m.",5,5,1,28,5,0.571429,0,13,1,10,0.000089
2302,"szewczyk, tim m.",1,1,1,16,1,1,0,193,0,0,0.000003
2303,"tablado, zulima",5,5,1,27,5,0.17706,0,0,1,10,0.000155
2304,"tack, jason d.",4,4,1,8,4,0.136224,0,0,1,6,0.000054
2305,"tada, tsuneo",5,5,1,59,5,0.201712,0,0,1,10,0.000295
2306,"taki, hisatomo",3,3,1,14,3,0.168193,0,0,1,3,0.000054
2307,"taktehrani, ateih",23,23,1,68,23,0.204749,0,0,1,253,0.070826
2308,"talamo, andres",5,5,1,42,5,0.144036,0,0,1,10,0.000073
2309,"talancy, neil w.",10,13,2,404,10,0.215155,0.000315,0,0.777778,35,0.000803
2310,"tallamy, douglas w.",2,2,1,72,2,0.164706,0,0,1,1,0.000035
2311,"tandin, tandin",3,3,1,11,3,0.163072,0,0,1,3,0.000115
2312,"tanner, jason e.",10,10,1,2,10,1,0,92,1,45,0.000239
2313,"tarbill, g. l.",6,6,1,34,6,0.156885,0,0,1,15,0.000083
2314,"tchin, ling t.",14,14,1,0,14,0.149756,0,0,1,91,0.002076
2315,"teator, marissa",4,4,1,0,4,1,0,183,1,6,0.000025
2316,"tecklin, jerry",8,8,1,0,8,0.104679,0,0,1,28,0.000128
2317,"teets, katherine d.",2,2,1,4,2,0.625,0,155,1,1,0.000011
2318,"tegeler, amy k.",3,3,1,6,3,0.714286,0,155,1,3,0.000017
2319,"teixeira, daniela",7,7,1,0,7,0.733333,0,25,1,21,0.000093
2320,"tejeda, v",6,6,1,12,6,1,0,100,1,15,0.000058
2321,"tella, jose l.",8,8,2,22,8,0.17951,0.011557,0,0.464286,13,0.000248
2322,"tempel, douglas j.",1,1,1,47,1,0.171539,0,0,0,0,0.000033
2323,"tenan, s.",8,11,3,33,8,0.191547,0.002053,0,0.464286,13,0.000374
2324,"tendron, pauline",8,8,1,0,8,0.568966,0,19,1,28,0.000435
2325,"tenhumberg, b",5,5,1,545,5,0.727273,0,75,1,10,0.000043
2326,"terando, adam j.",5,5,1,5,5,0.170959,0,0,1,10,0.000084
2327,"termaat, tim",21,23,3,340,21,0.180957,0.005916,0,0.680952,143,0.002799
2328,"tetsuya, tatsuyuki",3,3,1,10,3,0.129452,0,0,1,3,0.000039
2329,"tetzlaff, sasha j.",6,6,1,27,6,0.105981,0,0,1,15,0.000073
2330,"tewes, michael e.",5,5,1,15,5,0.186371,0,0,1,10,0.000128
2331,"thakur, mukesh",7,7,1,1,7,0.14025,0,0,1,21,0.000107
2332,"thanet, dol raj",6,6,1,0,6,0.607143,0,51,1,15,0.000081
2333,"thapa, gokarna jung",20,22,2,4,20,0.173327,0.000056,0,0.578947,110,0.004608
2334,"thapa, kanchan",43,45,3,72,43,0.206333,0.009384,0,0.401993,363,0.0734
2335,"thapa, madhuri karki",10,10,1,4,10,0.173115,0,0,1,45,0.003295
2336,"thayer, l.",4,4,1,0,4,1,0,62,1,6,0.000025
2337,"theisinger, ole",4,4,1,0,4,0.154519,0,0,1,6,0.071195
2338,"thill, ronald e.",7,7,1,17,7,0.146347,0,0,1,21,0.000107
2339,thinh tien vu,1,1,1,16,1,1,0,189,0,0,0.000003
2340,"thogmartin, wayne e.",1,1,2,64,1,1,0,186,0,0,0.000003
2341,"thomas, pete",5,5,1,0,5,0.631579,0,152,1,10,0.000067
2342,"thomas, r. f.",15,17,6,110,15,0.173391,0.006014,0,0.171429,18,0.000185
2343,"thomas, susan m.",8,8,1,13,8,0.201396,0,0,1,28,0.000409
2344,"thompson, cassandra",3,3,1,11,3,0.132224,0,0,1,3,0.000153
2345,"thompson, jeffrey j.",5,5,1,12,5,0.157601,0,0,1,10,0.025671
2346,"thompson, laura",4,4,1,0,4,0.194177,0,0,1,6,0.000138
2347,"thomson, james r.",13,13,1,29,13,0.842105,0,55,1,78,0.000623
2348,"thornton, daniel",8,10,2,26,8,0.19309,0,0,0.821429,23,0.003477
2349,"thornton, jamie e.",3,6,2,22,3,0.454545,0,41,1,3,0.000025
2350,"thorsen, neri h.",6,6,1,6,6,0.875,0,24,1,15,0.000059
2351,"thorson, james t.",11,11,2,99,11,0.215977,0.001234,0,0.563636,31,0.000685
2352,"tian, siyuan",7,7,1,0,7,0.144729,0,0,1,21,0.000101
2353,"tibbitts, t. lee",4,4,1,4,4,0.169626,0,0,1,6,0.00006
2354,"tilley, dominic",17,17,1,0,17,1,0,38,1,136,0.001946
2355,"ting, nicholas t. k.",14,14,1,0,14,0.149756,0,0,1,91,0.002076
2356,"tingley, morgan w.",12,13,3,38,12,0.148654,0.002043,0,0.348485,23,0.000278
2357,"tobajas, jorge",4,4,1,0,4,0.117257,0,0,1,6,0.000067
2358,"tobler, mathias w.",44,44,2,116,44,0.182687,0.001234,0,0.869979,823,0.949972
2359,"tobler, ursina",5,5,1,0,5,0.692308,0,43,1,10,0.000045
2360,"tolliver, james d. m.",1,1,1,0,1,0.571429,0,178,0,0,0.000005
2361,"tomas, walfrido moraes",5,5,1,22,5,0.692308,0,64,1,10,0.000047
2362,"tomlinson, k. w.",5,5,1,6,5,1,0,119,1,10,0.000039
2363,"toms, mike p.",3,3,1,12,3,1,0,95,1,3,0.000015
2364,"torres, natalia mundim",5,5,1,64,5,0.148576,0,0,1,10,0.000266
2365,"torres, rita tinoco",7,7,1,0,7,0.733333,0,25,1,21,0.000093
2366,"townsend peterson, a.",13,13,1,0,13,1,0,14,1,78,0.00061
2367,"townsend, susan e.",2,2,1,0,2,1,0,167,1,1,0.000008
2368,"tozer, douglas c.",2,2,1,15,2,1,0,140,1,1,0.000008
2369,"tran, dung v.",5,5,1,1,5,1,0,174,1,10,0.000039
2370,"travaini, alejandro",4,4,1,1,4,0.170835,0,0,1,6,0.002898
2371,"tree, a.",4,4,1,5,4,1,0,89,1,6,0.000025
2372,"tremblay, jean-pierre",2,2,1,0,2,1,0,46,1,1,0.000008
2373,"trockur, bernd",18,18,1,16,18,0.144271,0,0,1,153,0.003289
2374,"tronstad, lusha m.",16,16,1,19,16,0.173178,0,0,1,120,0.001628
2375,"truan, melanie l.",2,2,1,10,2,1,0,143,1,1,0.000008
2376,"trudeau, caroline",5,5,1,21,5,0.619048,0,57,1,10,0.00005
2377,"truex, richard l.",6,10,3,25,6,0.151619,0.000138,0,0.666667,10,0.000077
2378,"tshimologo, botilo",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2379,"tsubota, toshio",6,6,1,1,6,0.607143,0,51,1,15,0.000081
2380,"tucker, jody m.",23,23,1,68,23,0.204749,0,0,1,253,0.070826
2381,"tulloch, ayesha i. t.",6,6,1,17,6,0.4375,0,74,1,15,0.000069
2382,"tveraa, torkild",5,5,1,0,5,1,0,144,1,10,0.000039
2383,"twedt, daniel j.",1,1,1,7,1,1,0,201,0,0,0.000003
2384,"tyre, andrew j.",8,8,2,554,8,1,0.000004,75,0.464286,13,0.000057
2385,"tyrrell, peter d.",8,8,1,1,8,0.16985,0,0,1,28,0.028349
2386,"tzanopoulos, joseph",6,6,1,26,6,1,0,83,1,15,0.000058
2387,"tzilkowski, caleb j.",3,3,1,80,3,0.666667,0,106,1,3,0.000022
2388,"udell, brad j.",7,7,1,18,7,0.134028,0,0,1,21,0.000187
2389,"umbanhowar, james",2,2,1,9,2,1,0,180,1,1,0.000008
2390,"umuntunundi, prosper",2,2,1,1,2,1,0,200,1,1,0.000008
2391,"urbina, yahaira",18,18,1,32,18,0.176927,0,0,1,153,0.013161
2392,"urso, arianna",16,16,1,52,16,0.66,0,19,1,120,0.00198
2393,"utreras b, victor",2,2,1,1,2,1,0,196,1,1,0.000008
2394,"uzabaho, eustrate",18,18,1,0,18,0.180818,0,0,1,153,0.003323
2395,"uzarski, donald g.",3,3,1,4,3,1,0,72,1,3,0.000015
2396,"valanko, sebastian",2,2,1,10,2,1,0,198,1,1,0.000008
2397,"valdes, samuel",10,10,1,13,10,0.154031,0,0,1,45,0.000604
2398,"valente, jonathon j.",8,8,2,24,8,0.189926,0.004509,0,0.75,21,0.000194
2399,"valenzuela, leonor",5,5,1,10,5,1,0,85,1,10,0.000039
2400,"vallecillo, david",8,8,1,0,8,1,0,36,1,28,0.000122
2401,"vallejo-vargas, andrea f.",18,18,1,0,18,0.180818,0,0,1,153,0.003323
2402,"valles, henri",2,2,1,10,2,1,0,179,1,1,0.000008
2403,"van den burg, matthijs p.",3,3,1,0,3,1,0,78,1,3,0.000015
2404,"van den top, gregory g.",17,17,1,48,17,0.156937,0,0,1,136,0.002638
2405,"van der meij, tom",3,3,1,10,3,0.153329,0,0,1,3,0.000187
2406,"van der weyde, leanne k.",43,47,3,32,43,0.182664,0.000274,0,0.913621,825,0.951617
2407,"van grunsven, roy h. a.",17,17,1,48,17,0.156937,0,0,1,136,0.002638
2408,"van heezik, yolanda",4,4,1,0,4,1,0,153,1,6,0.000025
2409,"van lanen, nicholas j.",4,4,1,8,4,0.172713,0,0,1,6,0.000063
2410,"van mierlo, victoria a.",6,6,1,0,6,1,0,97,1,15,0.000058
2411,"van schalkwyk, j.",3,3,1,7,3,1,0,157,1,3,0.000015
2412,"van schmidt, nathan",8,8,1,0,8,0.104679,0,0,1,28,0.000128
2413,"van strien, arco j.",24,26,4,350,24,0.181027,0.00715,0,0.528986,146,0.002837
2414,"van swaay, chris a. m.",2,2,1,236,2,0.153312,0,0,1,1,0.000315
2415,"van wagensveld, timothy p.",3,3,1,0,3,1,0,78,1,3,0.000015
2416,"van, thinh n.",5,5,1,1,5,1,0,174,1,10,0.000039
2417,"vanappelghem, cedric",17,17,1,48,17,0.156937,0,0,1,136,0.002638
2418,"vanau, gabriel",8,8,1,7,8,0.132286,0,0,1,28,0.000337
2419,"vander yacht, andrew l.",5,5,1,21,5,0.857143,0,26,1,10,0.00004
2420,"vandewalle, philippe",8,8,1,0,8,1,0,36,1,28,0.000122
2421,"vanek, john p.",4,4,1,2,4,0.120207,0,0,1,6,0.000032
2422,"vanleeuwe, hilde",17,17,1,0,17,1,0,38,1,136,0.001946
2423,"vargas, claudeir f.",8,8,1,11,8,0.195682,0,0,1,28,0.000511
2424,"vargas-castillo, alfredo",2,2,1,1,2,1,0,39,1,1,0.000008
2425,"vashon, jennifer h.",4,4,1,0,4,0.512195,0,74,1,6,0.000046
2426,"vasquez robles, rocio",14,14,1,1,14,1,0,101,1,91,0.000821
2427,"vasquez-martinez, rodolfo",13,13,1,0,13,1,0,14,1,78,0.00061
2428,"vasudevan, karthikeyan",1,1,1,1,1,1,0,132,0,0,0.000003
2429,"veilleux, m. a. n.",6,6,1,8,6,1,0,117,1,15,0.000058
2430,"velasquez-c, karen",6,6,1,0,6,0.10513,0,0,1,15,0.000091
2431,"velho, n.",5,5,1,6,5,1,0,119,1,10,0.000039
2432,"venticinque, eduardo martins",4,4,1,12,4,0.611111,0,25,1,6,0.000038
2433,"veran, sophie",6,6,1,35,6,0.193938,0,0,1,15,0.000305
2434,"verbyla, david l.",3,3,1,3,3,0.48,0,3,1,3,0.00004
2435,"vercauteren, tammy",3,3,1,9,3,0.615385,0,75,1,3,0.000021
2436,"vergara, pablo m.",7,7,1,2,7,1,0,9,1,21,0.000085
2437,"veron, g.",4,4,1,4,4,1,0,165,1,6,0.000025
2438,"verrastro, laura",3,3,1,0,3,1,0,129,1,3,0.000015
2439,"versfeld, william f.",5,5,1,5,5,0.108344,0,0,1,10,0.000048
2440,"versiani, natalia f.",6,6,1,22,6,0.201453,0,0,1,15,0.00033
2441,"vialet, emmanuel",8,8,1,0,8,1,0,36,1,28,0.000122
2442,"vicente lopez-bao, jose",7,7,1,10,7,0.105138,0,0,1,21,0.000118
2443,"vicente, joaquin",3,3,1,0,3,1,0,2,1,3,0.000015
2444,"vierling, kerri t.",5,5,1,28,5,0.571429,0,13,1,10,0.000089
2445,"vierling, lee a.",5,5,1,28,5,0.571429,0,13,1,10,0.000089
2446,"vilella, francisco j.",7,7,1,8,7,0.125088,0,0,1,21,0.000101
2447,"villanua, diego",4,4,1,0,4,0.185759,0,0,1,6,0.000153
2448,"villar, nacho",3,3,1,10,3,1,0,7,1,3,0.000015
2449,"vincent, a. c. j.",3,3,1,6,3,1,0,37,1,3,0.000015
2450,"vindstad, ole petter laksforsmo",2,2,1,5,2,0.145473,0,0,1,1,0.000074
2451,"viscarra, maria",7,7,1,1,7,0.157251,0,0,1,21,0.000103
2452,"vishnudas, c. k.",5,5,1,4,5,1,0,29,1,10,0.000039
2453,"vitekere, kasereka",5,5,1,5,5,1,0,176,1,10,0.000039
2454,"vogeler, jody c.",6,6,1,1,6,0.136473,0,0,1,15,0.000068
2455,"volpe, john p.",2,2,1,10,2,0.157146,0,0,1,1,0.000018
2456,"von felten, stefanie",5,5,1,0,5,1,0,52,1,10,0.000039
2457,"von muhlen, eduardo matheus",3,3,1,0,3,1,0,131,1,3,0.000015
2458,"vu, thinh t.",5,5,1,1,5,1,0,174,1,10,0.000039
2459,"vucetich, john a.",4,4,1,13,4,0.168614,0,0,1,6,0.000085
2460,"vynne, carly",7,7,1,8,7,0.193064,0,0,1,21,0.003389
2461,"waddle, j. hardin",17,19,6,37,17,0.167298,0.010148,0,0.198529,27,0.000772
2462,"wagner, tyler",5,5,2,16,5,1,0.000001,192,0.6,6,0.000028
2463,"waits, lisette p.",3,3,1,0,3,1,0,123,1,3,0.000015
2464,"walk, jeffery w.",5,5,1,7,5,1,0,61,1,10,0.000039
2465,"walker, r. susan",3,3,1,6,3,1,0,156,1,3,0.000015
2466,"wallace, robert",7,7,1,1,7,0.157251,0,0,1,21,0.000103
2467,"wallace, zachary p.",4,4,1,5,4,1,0,184,1,6,0.000025
2468,"wallach, arian d.",6,6,1,0,6,1,0,81,1,15,0.000058
2469,"wallisdevries, michiel f.",17,17,1,48,17,0.156937,0,0,1,136,0.002638
2470,"walls, susan c.",10,13,3,48,10,0.196553,0.004284,0,0.555556,25,0.005378
2471,"walsh, stephen j.",5,5,1,3,5,0.592593,0,67,1,10,0.000078
2472,"wang, dajun",3,3,1,20,3,0.168937,0,0,1,3,0.00019
2473,"wang, fang",10,10,2,20,10,0.169078,0.002871,0,0.533333,24,0.000272
2474,"wang, jiao",5,5,1,5,5,1,0,176,1,10,0.000039
2475,"wang, jiaxin",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2476,"wang, lin",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2477,"wang, tianming",11,13,2,27,11,1,0.000002,149,0.636364,35,0.00016
2478,"wang, xia",3,3,1,11,3,1,0,113,1,3,0.000015
2479,"wang, zhengyang",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2480,"wangdi, sonam",3,3,1,11,3,0.163072,0,0,1,3,0.000115
2481,"wann, gregory t.",3,3,1,12,3,0.131596,0,0,1,3,0.00004
2482,"ward, michael p.",5,5,1,7,5,1,0,61,1,10,0.000039
2483,"ward, tim m.",10,10,1,2,10,1,0,92,1,45,0.000239
2484,"waseem, muhammad",9,9,1,4,9,1,0,5,1,36,0.000172
2485,"wassens, s.",5,5,1,9,5,0.147846,0,0,1,10,0.000057
2486,"watson, craig",8,8,1,0,8,0.107807,0,0,1,28,0.000129
2487,"watts, bryan d.",8,8,1,0,8,0.107807,0,0,1,28,0.000129
2488,"wauters, l. a.",12,19,2,2,12,1,0,34,0.939394,62,0.000396
2489,"wearn, oliver r.",5,5,1,55,5,0.166118,0,0,1,10,0.00017
2490,"webb, elisabeth b.",9,9,2,4,9,0.129737,0.001234,0,0.5,18,0.000144
2491,"webb, matthew h.",5,5,1,1,5,1,0,15,1,10,0.000039
2492,"webber, alyson f.",2,2,1,31,2,1,0,151,1,1,0.000008
2493,"weckerly, floyd w.",4,4,3,32,4,1,0.000001,178,0.166667,1,0.000015
2494,"wedderburn, scotte d.",0,0,1,6,0,0,0,202,0,0,0
2495,"wegan, michael t.",4,6,2,174,4,0.201827,0,0,1,6,0.000293
2496,"weise, florian j.",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2497,"weiskopf, sarah r.",4,4,1,0,4,0.194177,0,0,1,6,0.000138
2498,"weiss, stephanie k.",8,14,2,11,8,0.833333,0,87,1,28,0.00013
2499,"weldon, aimee",8,8,1,0,8,0.107807,0,0,1,28,0.000129
2500,"wells, harry b. m.",6,6,1,13,6,1,0,122,1,15,0.000058
2501,"wells, k.",8,8,1,5,8,1,0,77,1,28,0.000122
2502,"wells, m.",6,6,1,8,6,1,0,117,1,15,0.000058
2503,"wen, qingzhong",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2504,"weng, yue",7,7,1,0,7,0.144729,0,0,1,21,0.000101
2505,"wenger, seth j.",16,16,2,16,16,1,0.000016,67,0.541667,65,0.000394
2506,"wesche, spencer l.",5,5,1,0,5,0.140264,0,0,1,10,0.002668
2507,"wesolowski, tomasz",3,3,1,0,3,0.8,0,197,1,3,0.000016
2508,"weston, michael a.",5,5,1,1,5,0.356164,0,20,1,10,0.000047
2509,"westphal, joanne",5,5,1,13,5,0.170897,0,0,1,10,0.000069
2510,"wheat, bradley r.",7,7,1,8,7,0.125088,0,0,1,21,0.000101
2511,"wheatley, matthew",2,2,1,17,2,0.186249,0,0,1,1,0.000083
2512,"wheedleton, sarah",4,4,1,0,4,0.194177,0,0,1,6,0.000138
2513,"wheeler, kit",5,5,1,3,5,0.592593,0,67,1,10,0.000078
2514,"white, a. m.",8,9,2,46,8,0.18593,0.001026,0,0.642857,18,0.000193
2515,"white, don, jr.",7,7,1,17,7,0.146347,0,0,1,21,0.000107
2516,"white, gary c.",4,4,1,57,4,0.150746,0,0,1,6,0.000058
2517,"whitehead, amy l.",10,10,1,26,10,0.625,0,58,1,45,0.000274
2518,"whitesell, carolyn",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2519,"whitman, matthew",6,6,1,26,6,0.421053,0,3,1,15,0.000074
2520,"whittington, jesse",25,26,2,81,25,0.208033,0.003439,0,0.853333,256,0.071081
2521,"whittington-jones, gareth",8,8,1,6,8,0.146105,0,0,1,28,0.000203
2522,"widodo, febri a.",23,23,1,68,23,0.204749,0,0,1,253,0.070826
2523,"wigley, t. bently",7,7,1,17,7,0.146347,0,0,1,21,0.000107
2524,"wikle, christopher k.",6,6,1,24,6,0.181982,0,0,1,15,0.000376
2525,"wiley, david n.",2,2,1,2,2,1,0,148,1,1,0.000008
2526,"wilk, andrew j.",3,3,1,0,3,0.124868,0,0,1,3,0.000083
2527,"wilke, alexandra l.",8,8,1,10,8,0.170115,0,0,1,28,0.000204
2528,"wilkerson, robert l.",6,7,2,60,6,0.129701,0.000001,0,0.733333,11,0.000099
2529,"wilkins, laetitia g. e.",4,4,1,0,4,1,0,104,1,6,0.000025
2530,"williams, david m.",4,5,2,2,4,0.158378,0.002854,0,0.666667,4,0.000044
2531,"williams, kathryn s.",8,8,1,6,8,0.146105,0,0,1,28,0.000203
2532,"williams, lori a.",3,3,1,3,3,1,0,102,1,3,0.000015
2533,"williams, perry j.",3,3,1,23,3,0.173967,0,0,1,3,0.000123
2534,"williams, rob",8,8,1,13,8,1,0,11,1,28,0.000122
2535,"williams, samual t.",8,8,1,6,8,0.146105,0,0,1,28,0.000203
2536,"williams, steven g.",3,3,1,1,3,0.170814,0,0,1,3,0.00005
2537,"williamson, jacque",22,22,1,44,22,0.162323,0,0,1,231,0.041391
2538,"willigalla, christoph",18,18,1,16,18,0.144271,0,0,1,153,0.003289
2539,"willson, j. d.",8,10,3,35,8,0.625,0.00001,41,0.464286,13,0.000064
2540,"wilmoth, seth c.",3,3,1,0,3,1,0,128,1,3,0.000015
2541,"wilson, evan c.",3,3,1,3,3,0.147276,0,0,1,3,0.000032
2542,"wilson, howard b.",6,6,1,5,6,1,0,136,1,15,0.000058
2543,"wilson, r. randy",1,1,1,7,1,1,0,201,0,0,0.000003
2544,"wilson, scott",2,2,1,1,2,0.157654,0,0,1,1,0.000024
2545,"wilson, tammy l.",4,4,1,4,4,0.461538,0,3,1,6,0.000043
2546,"wilting, andreas",30,46,5,15,30,0.17284,0.003613,0,0.450575,196,0.003332
2547,"wilton, clay m.",12,18,3,25,12,0.200681,0.000739,0,0.636364,42,0.000482
2548,"windels, steve k.",5,5,1,0,5,0.140264,0,0,1,10,0.002668
2549,"wingard, ganchimeg",4,4,1,7,4,1,0,17,1,6,0.000025
2550,"winne, c. t.",2,2,1,22,2,0.405405,0,41,1,1,0.000016
2551,"winterbach, christiaan",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2552,"winterholler, michael",17,17,1,48,17,0.156937,0,0,1,136,0.002638
2553,"wipfli, mark s.",9,10,2,26,9,0.615385,0.000013,3,0.583333,21,0.000112
2554,"woinarski, john c. z.",11,16,2,50,11,0.565217,0.000002,20,0.836364,46,0.000297
2555,"wolska, alicja",3,3,1,0,3,0.8,0,197,1,3,0.000016
2556,"womack-bulliner, kathryn m.",3,3,1,1,3,0.147815,0,0,1,3,0.000033
2557,"womble, jamie n.",3,3,1,23,3,0.173967,0,0,1,3,0.000123
2558,"wong, george t. n.",14,14,1,0,14,0.149756,0,0,1,91,0.002076
2559,"wong, seth t.",25,35,3,6,25,0.172713,0.002485,0,0.586667,176,0.003119
2560,"wong, wai-ming",11,11,1,4,11,0.147538,0,0,1,55,0.001598
2561,"wood, connor m.",3,3,1,9,3,0.171957,0,0,1,3,0.00005
2562,"wood, eric m.",5,5,1,2,5,0.11406,0,0,1,10,0.000048
2563,"wood, petra b.",5,5,1,6,5,0.647059,0,93,1,10,0.00005
2564,"woodcock, ben a.",11,12,2,624,11,0.135363,0.000004,0,0.545455,30,0.000449
2565,"woodford, luke p.",2,2,1,14,2,0.545455,0,152,1,1,0.000038
2566,"woodgate, zoe",2,2,1,1,2,0.147292,0,0,1,1,0.000074
2567,"wooster, eamonn i. f.",6,6,1,0,6,1,0,81,1,15,0.000058
2568,"wright, alexander d.",6,8,2,6,6,0.185808,0.000274,0,0.733333,11,0.000168
2569,"wright, elaine f.",5,5,1,0,5,0.631579,0,152,1,10,0.000067
2570,"wright, wilson j.",4,6,2,17,4,0.555556,0.000001,13,0.833333,5,0.000067
2571,"wronski, torsten",2,2,1,1,2,1,0,200,1,1,0.000008
2572,"wu, chunying",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2573,"wulff, marissa",8,8,1,0,8,0.625,0,58,1,28,0.000168
2574,"wultsch, claudia",23,23,1,68,23,0.204749,0,0,1,253,0.070826
2575,"wyatt, faye r.",6,6,1,0,6,1,0,97,1,15,0.000058
2576,"xiao, yuqi",7,7,1,7,7,0.733333,0,149,1,21,0.000115
2577,"xofis, panteleimon",6,6,1,26,6,1,0,83,1,15,0.000058
2578,"xu, charles c. y.",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2579,"yabuhara, yuki",8,10,2,28,8,0.168293,0.000001,0,0.678571,19,0.000122
2580,"yackulic, charles b.",7,8,2,34,7,0.186913,0.000098,0,0.619048,13,0.000221
2581,"yadav, ramesh kumar",6,6,1,0,6,0.607143,0,51,1,15,0.000081
2582,"yagui, h.",6,6,1,12,6,1,0,100,1,15,0.000058
2583,"yamane, yumi",8,8,1,1,8,0.16985,0,0,1,28,0.028349
2584,"yamaura, yuichi",19,21,5,105,19,0.202115,0.00573,0,0.204678,35,0.000424
2585,"yanco, esty",6,6,1,0,6,1,0,81,1,15,0.000058
2586,"yang, chunyan",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2587,"yang, zhongxing",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2588,"yen, jian d. l.",4,4,1,0,4,0.155112,0,0,1,6,0.000253
2589,"yirka, liani m.",3,3,1,1,3,0.170814,0,0,1,3,0.00005
2590,"yoccoz, nigel g.",26,26,2,82,26,0.204898,0.002053,0,0.787692,256,0.07102
2591,"york, geneva",3,3,1,0,3,1,0,16,1,3,0.000015
2592,"yu, douglas w.",15,15,1,1,15,0.132372,0,0,1,105,0.001268
2593,"zaman, muhammad",5,5,1,5,5,1,0,176,1,10,0.000039
2594,"zamora-lopez, antonio",4,7,2,6,4,0.169605,0,0,1,6,0.000097
2595,"zamora-marin, jose m.",4,7,2,6,4,0.169605,0,0,1,6,0.000097
2596,"zanin hegel, carla grasiele",3,3,1,6,3,1,0,138,1,3,0.000015
2597,"zanon martinez, juan i.",4,4,1,1,4,0.170835,0,0,1,6,0.002898
2598,"zapata-rios, galo",2,2,1,1,2,1,0,196,1,1,0.000008
2599,"zappalla, angela",3,3,1,5,3,0.141627,0,0,1,3,0.000056
2600,"zavaleta, arturo",6,6,1,0,6,0.10513,0,0,1,15,0.000091
2601,"zaw, t.",12,19,2,2,12,1,0,34,0.939394,62,0.000396
2602,"zeilinger, a. r.",3,3,1,13,3,1,0,42,1,3,0.000015
2603,"zeller, kathy a.",18,18,1,32,18,0.176927,0,0,1,153,0.013161
2604,"zellmer, amanda j.",37,48,2,67,37,0.16296,0.000037,0,0.752252,501,0.066982
2605,"zhang, dandan",7,7,1,7,7,0.733333,0,149,1,21,0.000115
2606,"zhang, qiang",4,4,1,0,4,0.128184,0,0,1,6,0.000054
2607,"zhang, zhuojin",7,7,1,0,7,0.144729,0,0,1,21,0.000101
2608,"zhao, qianqian",7,7,1,0,7,0.144729,0,0,1,21,0.000101
2609,"zhou, wenjing",4,4,1,5,4,0.128184,0,0,1,6,0.000053
2610,"zhu, mengyan",5,5,1,5,5,1,0,176,1,10,0.000039
