Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
1746,"owens, audrey k.",14,14,1,1,14,0.156763,0,0,1,91,0.001081
1747,"ozgul, arpat",3,3,1,7,3,0.6,0,43,1,3,0.000022
1748,"pablo torres-florez, juan",8,8,1,13,8,1,0,11,1,28,0.000122
1749,"pacheco-esquivel, j.",6,6,1,12,6,1,0,100,1,15,0.000058
1750,"pachomski, amanda",4,4,1,1,4,0.155796,0,0,1,6,0.000542
1751,"pacifici, krishna",11,12,3,11,11,0.171083,0.002054,0,0.381818,21,0.000129
1752,"paczkowski, john",3,3,1,9,3,0.157163,0,0,1,3,0.000024
1753,"padding, paul, i",5,5,1,1,5,0.20131,0,0,1,10,0.000273
1754,"padilla, benjamin j.",1,1,1,0,1,0.133674,0,0,0,0,0.000054
1755,"padilla, pablo",8,8,1,0,8,0.568966,0,19,1,28,0.000435
1756,"pairman, david",10,10,1,26,10,0.625,0,58,1,45,0.000274
1757,"pal, saunak",5,5,1,3,5,0.777778,0,27,1,10,0.000041
1758,"palacio, facundo xavier",2,2,1,7,2,1,0,191,1,1,0.000008
1759,"palacios, vicente",7,7,1,10,7,0.105138,0,0,1,21,0.000118
1760,"palazon, jose a.",4,4,1,15,4,0.201482,0,0,1,6,0.000282
1761,"palazon, santiago",3,3,1,1,3,1,0,159,1,3,0.000015
1762,"palenscar, kai",8,8,1,0,8,0.625,0,58,1,28,0.000168
1763,"pandolfo, tamara j.",5,5,1,6,5,0.146165,0,0,1,10,0.000051
1764,"pangau-adam, margaretha z.",1,1,1,1,1,0.142785,0,0,0,0,0.00002
1765,"panthi, saroj",4,4,1,20,4,0.156867,0,0,1,6,0.000167
1766,"paolino, roberta m.",6,6,1,22,6,0.201453,0,0,1,15,0.00033
1767,"paprocki, neil",4,4,1,8,4,0.7,0,82,1,6,0.000038
1768,"pardo, julia martinez",13,13,1,1,13,0.172818,0,0,1,78,0.009342
1769,"parker, daniel m.",8,8,1,6,8,0.146105,0,0,1,28,0.000203
1770,"parker, kevin a., jr.",3,3,1,3,3,1,0,102,1,3,0.000015
1771,"parnell, andrew",3,3,1,0,3,1,0,194,1,3,0.000015
1772,"parren, molly k.",4,4,1,0,4,0.151424,0,0,1,6,0.000755
1773,"parris, k",5,5,1,545,5,0.727273,0,75,1,10,0.000043
1774,"parrish, jr",2,2,1,106,2,1,0,175,1,1,0.000008
1775,"parsons, arielle w.",11,25,4,165,11,0.185613,0.000654,0,0.745455,41,0.000537
1776,"parsons, bill",8,8,1,4,8,0.1784,0,0,1,28,0.000371
1777,"part, tomas",6,6,1,15,6,1,0,63,1,15,0.000058
1778,"pasqualotto, nielson",6,6,1,22,6,0.201453,0,0,1,15,0.00033
1779,"pastor, p.",6,6,1,12,6,1,0,100,1,15,0.000058
1780,"patankar, vardhan",4,4,1,20,4,1,0,10,1,6,0.000025
1781,"patel, pinal",5,5,1,3,5,0.777778,0,27,1,10,0.000041
