"Element","h_index","g_index","m_index","TC","NP","PY_start"
"PANDOLFO TJ","1","1","0.111","6","1","2016"
"PANGAU-ADAM MZ","1","1","0.167","2","1","2019"
"PANTHI S","1","1","0.125","24","1","2017"
"PAOLINO RM","1","1","0.143","28","1","2018"
"PAPROCKI N","1","1","0.111","8","1","2016"
"PARDO JM","1","1","0.333","1","1","2022"
"PARKER DM","1","1","0.250","9","1","2021"
"PARKER KA","1","1","0.200","3","1","2020"
"PARRIS K","1","1","0.045","545","1","2003"
"PARRISH JR","1","1","0.045","108","1","2003"
"PARSONS B","1","1","0.250","5","1","2021"
"PASQUALOTTO N","1","1","0.143","28","1","2018"
"PASTOR P","1","1","0.200","16","1","2020"
"PATANKAR V","1","1","0.083","22","1","2013"
"PATEL P","1","1","0.200","4","1","2020"
"PATEL S","1","1","0.250","1","1","2021"
"PATERSON JT","1","1","0.200","5","1","2020"
"PATTEN KA","1","1","0.143","9","1","2018"
"PAUDEL G","1","1","0.333","1","1","2022"
"PAUDEL RP","1","1","0.333","6","1","2022"
"PAULI BP","1","1","0.125","11","1","2017"
"PAULIOS AT","1","1","0.100","17","1","2015"
"PAVIOLO A","1","2","0.125","86","2","2017"
"PAVIS J","1","1","0.333","2","1","2022"
"PAVLACKY DL","1","1","0.200","8","1","2020"
"PAWAR UR","1","1","0.250","4","1","2021"
"PAXTON EH","1","1","0.125","4","1","2017"
"PAYAN E","1","1","0.167","35","1","2019"
"PE'ER G","1","1","0.111","20","1","2016"
"PEABOTUWAGE I","1","1","0.167","7","1","2019"
"PEACH MA","1","1","0.125","12","1","2017"
"PEACOCK MM","1","1","0.167","15","1","2019"
"PEARL CA","1","2","0.167","16","2","2019"
"PEELE AM","1","1","0.100","13","1","2015"
"PENNATI R","1","1","0.143","62","1","2018"
"PEOPLES BK","1","1","0.071","27","1","2011"
"PEQUENO PACL","1","1","0.200","4","1","2020"
"PEREIRA JMC","1","1","0.250","6","1","2021"
"PEREIRA S","1","1","0.143","35","1","2018"
"PERILLO J","1","1","0.250","4","1","2021"
"PEROTTO-BALDIVIESO HL","1","1","0.200","19","1","2020"
"PERRY RW","1","1","0.091","17","1","2014"
"PETERS VE","1","1","0.067","27","1","2010"
"PETERSON AT","1","1","0.333","1","1","2022"
"PETERSON SM","1","1","0.333","2","1","2022"
"PETITPAS R","1","1","0.083","44","1","2013"
"PETRUS A","1","2","0.250","6","2","2021"
"PETZOLD F","1","1","0.250","29","1","2021"
